id_commune;id_year;decile_1_revenu;decile_9_revenu;ratio_deciles
69102;2016;;;
69102;2017;;;
69102;2018;;;
69102;2019;;;
69102;2020;;;
69102;2021;;;
69103;2014;;;
69103;2015;;;
69103;2016;;;
69103;2017;;;
69103;2018;;;
69103;2019;;;
69103;2020;;;
69103;2021;;;
69104;2014;;;
69104;2015;;;
69104;2016;;;
69104;2017;;;
69104;2018;;;
69104;2019;;;
69104;2020;;;
69104;2021;;;
69105;2014;;;
69105;2015;;;
69105;2016;;;
69105;2017;;;
69105;2018;;;
69105;2019;;;
69105;2020;;;
69105;2021;;;
69106;2014;;;
69106;2015;;;
69106;2016;;;
69106;2017;;;
69106;2018;;;
69106;2019;;;
69106;2020;;;
69106;2021;;;
69107;2014;;;
69107;2015;;;
69107;2016;;;
69107;2017;;;
69107;2018;;;
69107;2019;;;
69107;2020;;;
69107;2021;;;
69108;2014;;;
69108;2015;;;
69108;2016;;;
69108;2017;;;
69108;2018;;;
69108;2019;;;
69108;2020;;;
69108;2021;;;
69109;2014;;;
69109;2015;;;
69109;2016;;;
69109;2017;;;
69109;2018;;;
69109;2019;;;
69109;2020;;;
69109;2021;;;
69110;2014;;;
69110;2015;;;
69110;2016;;;
69110;2017;;;
69110;2018;;;
69110;2019;;;
69110;2020;;;
69110;2021;;;
69111;2014;;;
69111;2015;;;
69111;2016;;;
69111;2017;;;
69111;2018;;;
69111;2019;;;
69111;2020;;;
69111;2021;;;
69112;2014;15873.5714285714;48938.0;3.08298609548666
69112;2015;15913.3333333333;48161.4285714286;3.02648273385601
69112;2016;15613.3333333333;47525.0;3.04387275832622
69112;2017;16010.0;48280.0;3.0
69112;2018;16750.0;49470.0;3.0
69112;2019;16550.0;49230.0;3.0
69112;2020;16220.0;49640.0;3.1
69112;2021;16650.0;51750.0;3.1
69113;2014;;;
69113;2015;;;
69113;2016;;;
69113;2017;;;
69113;2018;;;
69113;2019;;;
69113;2020;;;
69113;2021;;;
69114;2014;;;
69114;2015;;;
69115;2014;11751.0;39503.4782608696;3.36171204670833
69115;2015;11739.3333333333;39021.3333333333;3.32398205463115
69115;2016;12073.3333333333;40046.0;3.31689674213142
69115;2017;12310.0;40150.0;3.3
69115;2018;12340.0;41100.0;3.3
69115;2019;12600.0;41320.0;3.3
69115;2020;13120.0;41720.0;3.2
69115;2021;13060.0;43830.0;3.4
69116;2014;14482.5;62341.4285714286;4.30460407881433
69116;2015;15063.3333333333;64100.3571428571;4.25538994088452
69116;2016;14545.652173913;64584.5;4.44012404722762
69116;2017;15340.0;64430.0;4.2
69116;2018;15490.0;71460.0;4.6
69116;2019;15920.0;71340.0;4.5
69116;2020;15630.0;68520.0;4.4
69116;2021;15630.0;75210.0;4.8
69117;2014;15909.5238095238;54476.6666666667;3.42415444477701
69117;2015;16468.4;54925.0;3.33517524471108
69117;2016;17002.4;54478.0;3.20413588669835
69117;2017;17280.0;55440.0;3.2
69117;2018;17440.0;56550.0;3.2
69117;2019;17260.0;59950.0;3.5
69117;2020;17300.0;58040.0;3.4
69117;2021;18000.0;61530.0;3.4
69118;2014;13358.3333333333;34930.6666666667;2.6148970679975
69118;2015;13849.6153846154;34658.2608695652;2.50247100060734
69118;2016;13407.5;34390.0;2.56498228603394
69118;2017;14050.0;35950.0;2.6
69118;2018;14200.0;36450.0;2.6
69118;2019;14100.0;36520.0;2.6
69118;2020;14510.0;36400.0;2.5
69118;2021;15400.0;37580.0;2.4
69119;2014;;;
69119;2015;;;
69119;2016;;;
69119;2017;;;
69119;2018;;;
69119;2019;;;
69119;2020;;;
69119;2021;;;
69120;2014;;;
69120;2015;;;
69120;2016;;;
69120;2017;;;
69120;2018;;;
69120;2019;;;
69120;2020;;;
69120;2021;;;
69121;2014;13457.619047619;38252.1825396825;2.84241829140276
69121;2015;13762.0;38483.3333333333;2.79634743012159
69121;2016;13856.4;39549.6296296296;2.85424999492145
69121;2017;14650.0;40220.0;2.7
69121;2018;14920.0;41410.0;2.8
69121;2019;14940.0;42800.0;2.9
69121;2020;14740.0;40480.0;2.7
69121;2021;15750.0;43870.0;2.8
69122;2014;;;
69122;2015;;;
69122;2016;;;
69122;2017;;;
69122;2018;;;
69122;2019;;;
69122;2020;;;
69122;2021;17610.0;50050.0;2.8
69123;2014;10633.8095238095;44063.3333333333;4.14370158076217
69123;2015;10719.6428571429;44743.3333333333;4.17395746571159
69123;2016;10886.0;45148.6666666667;4.14740645477371
