commune_id;candidate_id;candidate_slot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exp;extraction_source_url;ingestion_timestamp;source_file_name
69_086;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;465;24.35;32.72;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_087;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;419;17.87;23.57;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_088;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;1040;20.83;31.33;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_089;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;1749;17.49;28.52;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_090;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;202;29.02;41.65;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_091;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;2420;21.54;41.22;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_092;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;1469;25.69;40.13;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_093;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;250;30.53;46.21;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_094;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;1169;26.47;36.28;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
69_095;2_LE PEN_Marine;.1;2;F;LE PEN;Marine;209;33.23;44.37;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-07T23:24:07.583940;burvot_t2_france_entiere.xlsx
